Plot,TreeID,Tag,Species,X,Y,DBH_89,DBH_04,DBH_18,Dia_89_04,Dia_04_18,Dia_dif,NDI_89_live,NDI_89_consp,NDI_89_mort,NDI_89_propconsp,NDI_89_propmort,NDI_04_live,NDI_04_consp,NDI_04_mort,NDI_04_propconsp,NDI_04_propmort,Slope,TPI
B2,FRB2000100473,486,PICO,425732.123,4417793.235,17,18,NA,0.066666667,NA,NA,1.003377898,0.959571353,0.047668191,0.956340931,0.047507714,NA,NA,NA,NA,NA,7.676774502,0.07426727
B2,FRB2000100474,487,PICO,425729.827,4417791.923,25.7,26.9,NA,0.08,NA,NA,1.010482933,0.913554997,0.05934917,0.904077612,0.058733471,NA,NA,NA,NA,NA,8.468274117,7.55E-04
B2,FRB2000100475,488,PICO,425728.807,4417791.671,14,13.8,14.3,-0.013333333,0.035714286,0.049047619,1.169375362,1.094888282,0.066335701,0.936301823,0.056727466,1.36823954,1.233971505,1.052307624,0.901868035,0.769096048,7.791107178,-0.003360207
B2,FRB2000100477,490,PICO,425724.145,4417802.887,39.1,39.1,NA,0,NA,NA,0.820223081,0.742253405,0.176717763,0.90494089,0.215450853,NA,NA,NA,NA,NA,9.65523243,0.052879935
B2,FRB2000100481,495,PICO,425715.327,4417805.084,14.1,14.8,NA,0.046666667,NA,NA,0.828373221,0.784633347,0.21933324,0.947197866,0.26477587,NA,NA,NA,NA,NA,8.518834114,-0.041035649
B2,FRB2000100482,496,PICO,425717.181,4417796.619,38.3,38.6,NA,0.02,NA,NA,0.819410726,0.78569064,0.10852324,0.958848371,0.13244059,NA,NA,NA,NA,NA,9.002239227,0.005895573
B2,FRB2000100483,497,PICO,425716.412,4417793.74,36,37.2,NA,0.08,NA,NA,1.011882101,0.986331117,0.049417738,0.97474905,0.048837447,NA,NA,NA,NA,NA,9.769320488,0.048668702
B2,FRB2000100484,498,PICO,425716.353,4417792.361,32.8,33.2,NA,0.026666667,NA,NA,1.134325417,1.121920718,0.04681071,0.98906425,0.041267444,NA,NA,NA,NA,NA,8.446419716,0.117971523
B2,FRB2000100486,500,PICO,425711.539,4417799.235,28.4,28.8,NA,0.026666667,NA,NA,1.165330047,1.165330047,0.02989239,1,0.025651437,NA,NA,NA,NA,NA,7.744281292,-0.017720605
B2,FRB2000100487,501,PICO,425710.918,4417799.302,20.6,20.7,22.5,0.006666667,0.128571429,0.121904762,1.389706685,1.389706685,0.032444952,1,0.023346619,1.533017256,1.507687579,1.167655477,0.98347724,0.76167145,8.323578835,-0.023640052
B2,FRB2000100488,502,PICO,425709.636,4417799.463,20.8,21.4,24.1,0.04,0.192857143,0.152857143,1.178087706,1.178087706,0.03910406,1,0.033192826,1.294875326,1.267192291,0.947272032,0.978621081,0.731554624,8.001473427,-0.028338026
B2,FRB2000100489,503,PICO,425710.027,4417802.363,36,37,NA,0.066666667,NA,NA,0.926002371,0.926002371,0.099733676,1,0.107703478,NA,NA,NA,NA,NA,7.798664093,0.093344126
B2,FRB2000100490,504,PICO,425711.117,4417804.35,28.8,30.5,NA,0.113333333,NA,NA,0.852173865,0.834211205,0.099700375,0.978921367,0.116995344,NA,NA,NA,NA,NA,9.082261086,0.072165504
B2,FRB2000100492,506,PICO,425707.924,4417801.164,29.3,29.4,NA,0.006666667,NA,NA,0.910831485,0.910831485,0.071472055,1,0.078469021,NA,NA,NA,NA,NA,10.05373859,0.083151832
B2,FRB2000100493,507,PICO,425706.536,4417796.724,36.4,37.3,NA,0.06,NA,NA,0.877709991,0.877709991,0.032419759,1,0.036936755,NA,NA,NA,NA,NA,7.863736153,-0.055196576
B2,FRB2000100494,508,PICO,425704.687,4417794.383,29.4,29.2,NA,-0.013333333,NA,NA,0.878909647,0.878909647,0.023711654,1,0.026978489,NA,NA,NA,NA,NA,6.962109566,0.031551903
B2,FRB2000100495,509,PICO,425707.976,4417792.713,25.1,27,NA,0.126666667,NA,NA,1.187164095,1.187164095,0,1,0,NA,NA,NA,NA,NA,10.90658569,0.008638881
B2,FRB2000100496,510,PICO,425708.262,4417791.983,14.4,15,17.3,0.04,0.164285714,0.124285714,1.33423135,1.33423135,0,1,0,1.511465517,1.448965858,1.007789827,0.95864963,0.66676336,10.47892761,0.103089727
B2,FRB2000100497,511,PICO,425708.233,4417791.182,15.8,15.8,16.2,0,0.028571429,0.028571429,1.205943771,1.205943771,0,1,0,1.406057971,1.321046705,0.843027564,0.939539288,0.599568141,10.47892761,0.103089727
B2,FRB2000100498,512,PICO,425705.472,4417791.82,33.5,34.3,NA,0.053333333,NA,NA,0.830084058,0.830084058,0,1,0,NA,NA,NA,NA,NA,9.436783791,0.034586332
B2,FRB2000100499,513,PICO,425701.536,4417789.953,39.1,39.5,NA,0.026666667,NA,NA,0.794312978,0.794312978,0.038986297,1,0.049081783,NA,NA,NA,NA,NA,7.82537508,0.042808557
B2,FRB2000100500,514,PICO,425699.567,4417794.004,33.8,34.7,NA,0.06,NA,NA,0.606504827,0.606504827,0.052543737,1,0.086633667,NA,NA,NA,NA,NA,10.10474014,0.032061748
B2,FRB2000100501,515,PICO,425704.526,4417802.853,37.8,38.5,NA,0.046666667,NA,NA,0.914798103,0.904186545,0.214220392,0.988400109,0.234172317,NA,NA,NA,NA,NA,9.516221046,-0.047354039
B2,FRB2000100502,516,PICO,425702.874,4417805.075,38.6,40.1,NA,0.1,NA,NA,0.889402068,0.874797003,0.128123806,0.983578783,0.144056115,NA,NA,NA,NA,NA,9.955996513,0.189738084
B2,FRB2000100503,517,PICO,425697.401,4417802.525,35.4,36.8,NA,0.093333333,NA,NA,0.798254471,0.783406111,0.109791616,0.981398963,0.137539619,NA,NA,NA,NA,NA,9.404648781,-0.063437284
B2,FRB2000100504,518,PICO,425695.707,4417800.871,12.8,13.8,17.8,0.066666667,0.285714286,0.219047619,0.8817245,0.869881241,0.073604565,0.986568073,0.083477962,0.962317233,0.896546847,0.722708474,0.931654154,0.751008555,8.913017273,-0.039382116
B2,FRB2000100507,521,PICO,425691.052,4417792.952,12.9,14.7,18.1,0.12,0.242857143,0.122857143,1.015879427,1.015879427,0.307430617,1,0.302625103,0.799644038,0.78349527,0.717264385,0.979805054,0.896979595,15.88679409,0.345275686
B2,FRB2000100509,523,PICO,425691.438,4417799.936,42.8,44,NA,0.08,NA,NA,0.999254077,0.999254077,0.104516696,1,0.104594715,NA,NA,NA,NA,NA,9.260326385,0.044569912
B2,FRB2000100510,524,PICO,425692.126,4417801.203,38.5,38.1,NA,-0.026666667,NA,NA,1.028669855,1.018010807,0.082217261,0.989638028,0.079925799,NA,NA,NA,NA,NA,8.601288795,0.027598673
B2,FRB2000100511,525,PICO,425690.797,4417803.999,31.9,33.6,NA,0.113333333,NA,NA,1.009855403,0.997599926,0.062990529,0.987864127,0.06237579,NA,NA,NA,NA,NA,10.50884914,0.15489914
B2,FRB2000100512,526,PICO,425686.58,4417805.531,27.7,27.8,NA,0.006666667,NA,NA,1.151748845,1.151748845,0.062476243,1,0.054244676,NA,NA,NA,NA,NA,13.55377102,0.140024275
B2,FRB2000100513,527,PICO,425686.45,4417804.141,36.6,37.5,NA,0.06,NA,NA,1.1149973,1.1149973,0.050601876,1,0.045382958,NA,NA,NA,NA,NA,12.67150688,0.148814878
B2,FRB2000100514,528,PICO,425684.468,4417802.658,18.3,19,NA,0.046666667,NA,NA,1.100190081,1.100190081,0.052952169,1,0.048130018,NA,NA,NA,NA,NA,12.62054825,0.14197509
B2,FRB2000100515,529,PICO,425685.544,4417800.698,16,15.7,NA,-0.02,NA,NA,1.44552008,1.44552008,0.053991841,1,0.037351152,NA,NA,NA,NA,NA,11.78435802,0.134121771
B2,FRB2000100516,530,PICO,425685.323,4417800.299,15.8,16.5,NA,0.046666667,NA,NA,1.541607368,1.541607368,0.08082171,1,0.052426909,NA,NA,NA,NA,NA,11.78435802,0.134121771
B2,FRB2000100517,531,PICO,425684.656,4417799.814,21,20.6,NA,-0.026666667,NA,NA,1.22355983,1.22355983,0.052669524,1,0.043046137,NA,NA,NA,NA,NA,11.93851566,0.128964782
B2,FRB2000100518,532,PICO,425682.997,4417794.382,36.3,37.1,NA,0.053333333,NA,NA,1.008820867,0.998986165,0.134970161,0.99025129,0.133790018,NA,NA,NA,NA,NA,11.21554947,0.121394112
B2,FRB2000100519,533,PICO,425681.803,4417797.765,22.8,22.9,NA,0.006666667,NA,NA,1.06404818,1.06404818,0.056772876,1,0.05335555,NA,NA,NA,NA,NA,13.53759193,0.196703408
