Plot,X,Y,grow_BA_89_04,grow_BA_04_18,grow_BA_dif,ingrow_stems_89_04,ingrow_stems_04_18,ingrow_stems_dif,live_BA_89,live_BA_04,live_stems_89,live_stems_04,live_BA_LS_89,live_BA_LS_04,surv_BA_89,surv_BA_04,surv_stems_89,surv_stems_04,surv_BA_LS_89,surv_BA_LS_04,mort_BA_89_04,mort_BA_04_18,live_BA_LS_89_prop,live_BA_LS_04_prop,surv_BA_LS_89_prop,surv_BA_LS_04_prop,mort_BA_89_04_prop,mort_BA_04_18_prop,Slope,TPI
C3,426606.193,4417430.438,0.160833836,0.291152709,0.130318873,3,2,-1,51.94772678,38.33968259,8,9,2.935896875,6.294416501,33.63145622,8.639851036,6,6,2.935896875,5.585594658,18.31627057,29.69983155,0.056516369,0.164174977,0.087296157,0.64649201,0.352590415,0.774649907,15.12228489,0.312244307
C3,426616.193,4417430.438,0.206863404,0.234340372,0.027476968,1,5,4,61.55730893,45.67969966,7,6,1.093588403,2.821228743,41.79135043,2.035830579,5,1,1.093588403,2.035830579,19.7659585,43.64386908,0.017765371,0.061761105,0.026167817,1,0.321098483,0.955432488,17.58950996,0.169043893
C3,426496.193,4417420.438,0.369126665,0.035713176,-0.333413488,0,0,0,35.35461979,40.89151976,9,9,0,0,35.35461979,6.406649898,9,2,0,0,0,34.48486986,0,0,0,0,0,0.843325708,10.72090912,0.186336289
C3,426506.193,4417420.438,0.402432783,0.208506382,-0.193926401,0,1,1,45.0493391,48.8954339,10,9,0,0,42.85894216,4.963873472,9,2,0,0,2.190396938,43.93156043,0,0,0,0,0.048622177,0.898479815,5.317653656,0.159613287
C3,426516.193,4417420.438,0.234216204,0.37194213,0.137725926,1,2,1,22.0931718,18.81303491,7,7,1.22718463,1.862650284,14.54549545,8.492117642,6,5,1.22718463,1.862650284,7.54767635,10.32091727,0.055545878,0.099008496,0.084368706,0.219338728,0.341629369,0.548604588,8.315885544,-0.090315088
C3,426526.193,4417420.438,0.15391186,0.157062803,0.003150943,0,2,2,46.61243852,41.07844452,7,6,0,0,38.76976662,14.05085168,6,3,0,0,7.8426719,27.02759284,0,0,0,0,0.16825277,0.657950737,8.461510658,-0.08111322
C3,426536.193,4417420.438,0.206051826,0.262345427,0.0562936,2,3,1,51.73260623,56.67817992,9,11,0,1.130973355,51.73260623,11.36109859,9,5,0,1.130973355,0,45.31708133,0,0.019954299,0,0.099547887,0,0.799550751,4.780953884,-0.056544355
C3,426546.193,4417420.438,0.156147627,0.240202808,0.084055181,0,2,2,53.76553083,42.58122537,9,8,0,0,40.23901096,8.287050181,8,4,0,0,13.52651987,34.29417519,0,0,0,0,0.25158349,0.805382534,8.314712524,-0.158545846
C3,426556.193,4417420.438,0.130622187,0.026181809,-0.104440378,0,0,0,45.10038998,30.74229053,8,6,0,0,28.78295773,2.350618163,6,1,0,0,16.31743224,28.39167237,0,0,0,0,0.361802464,0.923537963,10.84396839,-0.23693039
C3,426566.193,4417420.438,0.14190574,0.329575509,0.187669769,1,1,0,48.31298262,46.92133562,9,9,1.188228881,1.838538561,43.97562127,6.091391076,8,4,1.188228881,1.838538561,4.337361357,40.82994454,0.024594401,0.039183423,0.027020173,0.30182573,0.089776311,0.870178651,9.828636169,0.005850903
